0,998,2,0
1,996,4,0
2,991,9,0
3,990,10,0
4,983,16,1
5,978,19,3
6,973,22,5
7,965,28,7
8,950,41,9
9,934,52,14
10,917,67,16
11,886,96,18
12,855,120,25
13,804,163,33
14,758,201,41
15,704,239,57
16,648,282,70
17,576,340,84
18,507,386,107
19,428,449,123
20,351,504,145
21,282,547,171
22,239,567,194
23,185,591,224
24,145,601,254
25,118,599,283
26,87,597,316
27,68,588,344
28,57,564,379
29,44,547,409
30,35,526,439
31,25,514,461
32,22,497,481
33,18,474,508
34,16,444,540
35,10,435,555
36,7,413,580
37,5,392,603
38,5,378,617
39,4,358,638
40,4,346,650
41,4,326,670
42,3,311,686
43,3,294,703
44,3,276,721
45,3,268,729
46,3,255,742
47,3,242,755
48,2,232,766
49,2,220,778
50,2,209,789
51,2,198,800
52,2,188,810
53,2,179,819
54,2,170,828
55,1,159,840
56,1,152,847
57,1,148,851
58,1,138,861
59,1,128,871
60,1,120,879
61,0,117,883
62,0,114,886
63,0,112,888
64,0,108,892
65,0,103,897
66,0,100,900
67,0,98,902
68,0,95,905
69,0,90,910
70,0,86,914
71,0,81,919
72,0,78,922
73,0,75,925
74,0,68,932
75,0,67,933
76,0,62,938
77,0,56,944
78,0,49,951
79,0,46,954
80,0,43,957
81,0,39,961
82,0,38,962
83,0,36,964
84,0,32,968
85,0,32,968
86,0,31,969
87,0,29,971
88,0,28,972
89,0,26,974
90,0,24,976
91,0,22,978
92,0,21,979
93,0,21,979
94,0,21,979
95,0,21,979
96,0,20,980
97,0,20,980
98,0,19,981
99,0,19,981
0,998,2,0
1,996,4,0
2,991,9,0
3,990,10,0
4,983,16,1
5,978,19,3
6,973,22,5
7,965,28,7
8,950,41,9
9,934,52,14
10,917,67,16
11,886,96,18
12,855,120,25
13,804,163,33
14,758,201,41
15,704,239,57
16,648,282,70
17,576,340,84
18,507,386,107
19,428,449,123
20,351,504,145
21,282,547,171
22,239,567,194
23,185,591,224
24,145,601,254
25,118,599,283
26,87,597,316
27,68,588,344
28,57,564,379
29,44,547,409
30,35,526,439
31,25,514,461
32,22,497,481
33,18,474,508
34,16,444,540
35,10,435,555
36,7,413,580
37,5,392,603
38,5,378,617
39,4,358,638
40,4,346,650
41,4,326,670
42,3,311,686
43,3,294,703
44,3,276,721
45,3,268,729
46,3,255,742
47,3,242,755
48,2,232,766
49,2,220,778
50,2,209,789
51,2,198,800
52,2,188,810
53,2,179,819
54,2,170,828
55,1,159,840
56,1,152,847
57,1,148,851
58,1,138,861
59,1,128,871
60,1,120,879
61,0,117,883
62,0,114,886
63,0,112,888
64,0,108,892
65,0,103,897
66,0,100,900
67,0,98,902
68,0,95,905
69,0,90,910
70,0,86,914
71,0,81,919
72,0,78,922
73,0,75,925
74,0,68,932
75,0,67,933
76,0,62,938
77,0,56,944
78,0,49,951
79,0,46,954
80,0,43,957
81,0,39,961
82,0,38,962
83,0,36,964
84,0,32,968
85,0,32,968
86,0,31,969
87,0,29,971
88,0,28,972
89,0,26,974
90,0,24,976
91,0,22,978
92,0,21,979
93,0,21,979
94,0,21,979
95,0,21,979
96,0,20,980
97,0,20,980
98,0,19,981
99,0,19,981
0,998,2,0
1,996,4,0
2,991,9,0
3,990,10,0
4,983,16,1
5,978,19,3
6,973,22,5
7,965,28,7
8,950,41,9
9,934,52,14
10,917,67,16
11,886,96,18
12,855,120,25
13,804,163,33
14,758,201,41
15,704,239,57
16,648,282,70
17,576,340,84
18,507,386,107
19,428,449,123
20,351,504,145
21,282,547,171
22,239,567,194
23,185,591,224
24,145,601,254
25,118,599,283
26,87,597,316
27,68,588,344
28,57,564,379
29,44,547,409
30,35,526,439
31,25,514,461
32,22,497,481
33,18,474,508
34,16,444,540
35,10,435,555
36,7,413,580
37,5,392,603
38,5,378,617
39,4,358,638
40,4,346,650
41,4,326,670
42,3,311,686
43,3,294,703
44,3,276,721
45,3,268,729
46,3,255,742
47,3,242,755
48,2,232,766
49,2,220,778
50,2,209,789
51,2,198,800
52,2,188,810
53,2,179,819
54,2,170,828
55,1,159,840
56,1,152,847
57,1,148,851
58,1,138,861
59,1,128,871
60,1,120,879
61,0,117,883
62,0,114,886
63,0,112,888
64,0,108,892
65,0,103,897
66,0,100,900
67,0,98,902
68,0,95,905
69,0,90,910
70,0,86,914
71,0,81,919
72,0,78,922
73,0,75,925
74,0,68,932
75,0,67,933
76,0,62,938
77,0,56,944
78,0,49,951
79,0,46,954
80,0,43,957
81,0,39,961
82,0,38,962
83,0,36,964
84,0,32,968
85,0,32,968
86,0,31,969
87,0,29,971
88,0,28,972
89,0,26,974
90,0,24,976
91,0,22,978
92,0,21,979
93,0,21,979
94,0,21,979
95,0,21,979
96,0,20,980
97,0,20,980
98,0,19,981
99,0,19,981
0,998,2,0
1,996,4,0
2,991,9,0
3,990,10,0
4,983,16,1
5,978,19,3
6,973,22,5
7,965,28,7
8,950,41,9
9,934,52,14
10,917,67,16
11,886,96,18
12,855,120,25
13,804,163,33
14,758,201,41
15,704,239,57
16,648,282,70
17,576,340,84
